iter	Passed	Remaining
298	39241	92001
299	39382	91891
300	39479	91682
301	39560	91435
302	39647	91201
303	39722	90944
304	39852	90811
305	39951	90609
306	40053	90414
307	40149	90205
308	40249	90007
309	40343	89796
310	40437	89586
311	40549	89416
312	40622	89160
313	40718	88958
314	40786	88694
315	40879	88485
316	40980	88296
317	41078	88099
318	41179	87909
319	41278	87716
320	41371	87512
321	41465	87308
322	41555	87098
323	41653	86907
324	41749	86709
325	41843	86511
326	41934	86304
327	42014	86078
328	42115	85895
329	42202	85684
330	42293	85481
331	42381	85272
332	42481	85091
333	42575	84896
334	42672	84708
335	42773	84528
336	42841	84285
337	42943	84107
338	43044	83931
339	43135	83733
340	43239	83562
341	43335	83377
342	43403	83136
343	43487	82929
344	43587	82752
345	43680	82562
346	43768	82365
347	43865	82185
348	43958	81997
349	44051	81809
350	44148	81631
351	44243	81449
352	44332	81254
353	44419	81059
354	44507	80865
355	44592	80666
356	44694	80499
357	44788	80318
358	44921	80207
359	45020	80036
360	45133	79889
361	45223	79703
362	45321	79530
363	45414	79350
364	45563	79267
365	45699	79162
366	45771	78946
367	45846	78736
368	45956	78587
369	46078	78457
370	46222	78366
371	46367	78275
372	46464	78104
373	46556	77925
374	46637	77728
375	46726	77545
376	46837	77400
377	46914	77197
378	46996	77004
379	47078	76811
380	47165	76628
381	47286	76500
382	47385	76337
383	47537	76258
384	47654	76123
385	47759	75969
386	47846	75788
387	47951	75635
388	48099	75549
389	48193	75379
390	48319	75259
391	48394	75060
392	48460	74848
393	48594	74741
394	48672	74548
395	48783	74407
396	48877	74239
397	49011	74132
398	49116	73982
399	49207	73811
400	49311	73659
401	49407	73496
402	49512	73346
403	49605	73180
404	49698	73014
405	49797	72857
406	49906	72713
407	50035	72600
408	50113	72412
409	50219	72266
410	50338	72139
411	50423	71963
412	50522	71807
413	50618	71647
414	50711	71485
415	50820	71344
416	50924	71196
417	51001	71011
418	51088	70841
419	51212	70722
420	51311	70568
421	51406	70410
422	51497	70245
423	51581	70073
424	51670	69907
425	51770	69756
426	51870	69606
427	51968	69453
428	52108	69356
429	52214	69214
430	52305	69052
431	52398	68894
432	52491	68735
433	52590	68586
434	52682	68427
435	52772	68264
436	52883	68131
437	52984	67984
438	53075	67825
439	53166	67666
440	53266	67518
441	53373	67381
442	53475	67237
443	53574	67089
444	53682	66952
445	53783	66806
446	53882	66660
447	53980	66511
448	54068	66351
449	54164	66201
450	54263	66054
451	54363	65909
452	54457	65758
453	54554	65609
454	54668	65481
455	54764	65333
456	54861	65185
457	54959	65039
458	55053	64889
459	55176	64772
460	55277	64630
461	55372	64481
462	55460	64325
463	55557	64178
464	55655	64033
465	55760	63897
466	55846	63739
467	55938	63588
468	56040	63449
469	56129	63295
470	56223	63146
471	56324	63006
472	56413	62854
473	56498	62697
474	56588	62545
475	56689	62406
476	56786	62262
477	56886	62123
478	56972	61968
479	57067	61823
480	57172	61689
481	57287	61565
482	57381	61420
483	57467	61267
484	57575	61136
485	57686	61009
486	57775	60860
487	57871	60717
488	57970	60579
489	58060	60430
490	58154	60286
491	58245	60139
492	58351	60008
493	58438	59858
494	58534	59717
495	58624	59570
496	58720	59429
497	58808	59280
498	58915	59151
499	59018	59018
500	59124	58888
501	59221	58749
502	59318	58610
503	59409	58466
504	59499	58320
505	59588	58175
506	59682	58034
507	59791	57907
508	59883	57765
509	59981	57629
510	60078	57492
511	60184	57363
512	60270	57215
513	60365	57076
514	60449	56928
515	60542	56787
516	60637	56649
517	60742	56521
518	60838	56383
519	60937	56250
520	61030	56110
521	61124	55971
522	61237	55851
523	61332	55713
524	61424	55574
525	61513	55432
526	61607	55294
527	61706	55162
528	61814	55037
529	61910	54902
530	62012	54771
531	62110	54638
532	62200	54498
533	62297	54364
534	62393	54229
535	62477	54085
536	62564	53942
537	62669	53816
538	62764	53681
539	62873	53558
540	62975	53430
541	63075	53299
542	63181	53174
543	63257	53024
544	63339	52879
545	63432	52744
546	63540	52621
547	63640	52491
548	63730	52354
549	63824	52220
550	63927	52093
551	64004	51946
552	64092	51807
553	64189	51675
554	64296	51552
555	64388	51418
556	64480	51283
557	64575	51150
558	64671	51020
559	64765	50887
560	64853	50750
561	64947	50617
562	65045	50488
563	65135	50353
564	65221	50214
565	65323	50089
566	65416	49956
567	65509	49823
568	65603	49692
569	65699	49562
570	65801	49437
571	65912	49319
572	66008	49189
573	66100	49057
574	66196	48927
575	66298	48803
576	66390	48671
577	66483	48539
578	66574	48407
579	66649	48263
580	66737	48129
581	66827	47996
582	66949	47886
583	67057	47766
584	67160	47643
585	67260	47518
586	67353	47388
587	67456	47265
588	67541	47130
589	67642	47005
590	67740	46879
591	67835	46751
592	67933	46625
593	68040	46505
594	68149	46387
595	68252	46265
596	68361	46146
597	68448	46013
598	68541	45884
599	68635	45756
600	68727	45627
601	68827	45503
602	68923	45377
603	69020	45251
604	69122	45129
605	69220	45004
606	69319	44880
607	69408	44750
608	69523	44636
609	69623	44513
610	69725	44391
611	69833	44273
612	69931	44149
613	70029	44025
614	70113	43891
615	70192	43756
616	70291	43632
617	70374	43499
618	70462	43370
619	70565	43250
620	70619	43099
621	70675	42950
622	70723	42797
623	70769	42643
624	70832	42499
625	70900	42359
626	70989	42231
627	71059	42092
628	71161	41972
629	71258	41849
630	71348	41723
631	71479	41621
632	71575	41497
633	71673	41376
634	71839	41293
635	71952	41180
636	72048	41057
637	72174	40951
638	72283	40835
639	72397	40723
640	72513	40612
641	72592	40480
642	72678	40351
643	72760	40221
644	72845	40093
645	72941	39971
646	73030	39845
647	73111	39714
648	73202	39590
649	73282	39459
650	73371	39334
651	73452	39204
652	73551	39084
653	73656	38968
654	73739	38840
655	73822	38711
656	73918	38590
657	74014	38469
658	74115	38350
659	74210	38229
660	74301	38105
661	74379	37976
662	74463	37849
663	74564	37731
664	74657	37609
665	74740	37482
666	74819	37353
667	74899	37225
668	75003	37109
669	75100	36989
670	75213	36878
671	75323	36764
672	75405	36638
673	75492	36514
674	75577	36388
675	75629	36248
676	75703	36118
677	75796	35997
678	75893	35878
679	75991	35760
680	76085	35640
681	76174	35518
682	76236	35383
683	76304	35251
684	76386	35126
685	76459	34997
686	76510	34858
687	76573	34725
688	76656	34601
689	76709	34463
690	76777	34333
691	76864	34211
692	76948	34088
693	76987	33945
694	77070	33822
695	77139	33693
696	77182	33552
697	77231	33415
698	77285	33280
699	77376	33161
700	77418	33021
701	77469	32886
702	77526	32752
703	77579	32618
704	77645	32490
705	77727	32368
706	77832	32255
707	77922	32137
708	78002	32015
709	78085	31894
710	78167	31772
711	78231	31644
712	78312	31522
713	78367	31390
714	78415	31256
715	78518	31144
716	78599	31023
717	78682	30903
718	78763	30782
719	78827	30655
720	78883	30524
721	78953	30400
722	79002	30268
723	79069	30142
724	79123	30012
725	79170	29879
726	79254	29761
727	79346	29646
728	79409	29519
729	79454	29387
730	79501	29255
731	79566	29130
732	79631	29006
733	79685	28877
734	79738	28749
735	79797	28622
736	79839	28490
737	79914	28370
738	79988	28250
739	80050	28125
740	80149	28014
741	80224	27894
742	80287	27770
743	80363	27651
744	80463	27541
745	80530	27419
746	80601	27298
747	80652	27171
748	80700	27043
749	80797	26932
750	80862	26810
751	80954	26697
752	80998	26569
753	81051	26443
754	81091	26314
755	81171	26198
756	81272	26088
757	81348	25971
758	81415	25851
759	81472	25728
760	81556	25613
761	81625	25494
762	81703	25378
763	81778	25261
764	81826	25136
765	81902	25019
766	81975	24902
767	82044	24784
768	82107	24664
769	82147	24537
770	82227	24422
771	82266	24296
772	82327	24176
773	82391	24057
774	82454	23938
775	82516	23819
776	82576	23699
777	82641	23581
778	82699	23461
779	82749	23339
780	82797	23217
781	82855	23097
782	82935	22984
783	83010	22870
784	83048	22745
785	83099	22625
786	83165	22508
787	83241	22394
788	83315	22280
789	83364	22160
790	83428	22043
791	83520	21934
792	83590	21819
793	83673	21708
794	83755	21597
795	83835	21485
796	83901	21370
797	83984	21259
798	84061	21146
799	84144	21036
800	84224	20924
801	84307	20814
802	84386	20702
803	84471	20592
804	84594	20491
805	84703	20387
806	84772	20274
807	84835	20158
808	84914	20047
809	84987	19935
810	85087	19829
811	85192	19724
812	85299	19619
813	85380	19509
814	85447	19395
815	85549	19290
816	85659	19186
817	85746	19078
818	85838	18970
819	85939	18864
820	86036	18758
821	86132	18651
822	86233	18545
823	86329	18439
824	86427	18333
825	86539	18229
826	86663	18129
827	86758	18022
828	86861	17917
829	86963	17811
830	87065	17706
831	87168	17601
832	87267	17495
833	87382	17392
834	87476	17285
835	87570	17178
836	87664	17072
837	87751	16963
838	87849	16857
839	87969	16756
840	88045	16645
841	88127	16536
842	88228	16431
843	88330	16326
844	88424	16219
845	88553	16119
846	88652	16014
847	88754	15908
848	88868	15805
849	88956	15698
850	89051	15591
851	89147	15485
852	89226	15376
853	89369	15278
854	89471	15173
855	89577	15069
856	89689	14965
857	89780	14858
858	89878	14753
859	89976	14647
860	90075	14541
861	90163	14434
862	90260	14328
863	90355	14222
864	90441	14115
865	90529	14008
866	90648	13905
867	90735	13798
868	90841	13694
869	90943	13589
870	91040	13483
871	91159	13381
872	91291	13280
873	91396	13176
874	91493	13070
875	91590	12964
876	91694	12860
877	91791	12754
878	91887	12648
879	92003	12545
880	92105	12441
881	92200	12335
882	92297	12229
883	92369	12120
884	92433	12011
885	92490	11900
886	92573	11793
887	92656	11686
888	92712	11576
889	92781	11467
890	92885	11363
891	93035	11264
892	93133	11159
893	93237	11054
894	93334	10949
895	93430	10844
896	93580	10745
897	93686	10641
898	93776	10535
899	93872	10430
900	93982	10326
901	94075	10221
902	94145	10113
903	94242	10008
904	94317	9900
905	94417	9796
906	94539	9693
907	94632	9588
908	94729	9483
909	94812	9377
910	94902	9271
911	95007	9167
912	95103	9062
913	95183	8955
914	95276	8850
915	95361	8744
916	95477	8641
917	95567	8536
918	95688	8433
919	95772	8328
920	95866	8223
921	95963	8118
922	96055	8013
923	96147	7908
924	96236	7802
925	96328	7697
926	96402	7591
927	96502	7487
928	96589	7381
929	96714	7279
930	96826	7176
931	96912	7070
932	97001	6965
933	97097	6861
934	97219	6758
935	97314	6654
936	97424	6550
937	97533	6446
938	97632	6342
939	97717	6237
940	97798	6131
941	97899	6027
942	97998	5923
943	98124	5820
944	98213	5716
945	98311	5611
946	98403	5507
947	98508	5403
948	98647	5301
949	98748	5197
950	98859	5093
951	98962	4989
952	99054	4885
953	99147	4780
954	99224	4675
955	99318	4571
956	99418	4467
957	99523	4363
958	99620	4259
959	99718	4154
960	99812	4050
961	99910	3946
962	100004	3842
963	100111	3738
964	100200	3634
965	100297	3530
966	100457	3428
967	100543	3323
968	100611	3218
969	100691	3114
970	100779	3009
971	100868	2905
972	100966	2801
973	101066	2697
974	101168	2594
975	101268	2490
976	101369	2386
977	101463	2282
978	101562	2178
979	101649	2074
980	101744	1970
981	101835	1866
982	101946	1763
983	102042	1659
984	102144	1555
985	102253	1451
986	102360	1348
987	102453	1244
988	102545	1140
989	102639	1036
990	102725	932
991	102813	829
992	102905	725
993	103009	621
994	103102	518
995	103217	414
996	103314	310
997	103408	207
998	103504	103
999	103599	0
