iter	RMSE
0	0.08908487722
1	0.08453451069
2	0.08064738086
3	0.0774832565
4	0.07449758646
5	0.07210657766
6	0.0699567861
7	0.06819539456
8	0.06674207191
9	0.06541443501
10	0.06432182396
11	0.0634017739
12	0.0625416046
13	0.06184069569
14	0.06124015512
15	0.0606936761
16	0.06019540731
17	0.05975623987
18	0.05939723937
19	0.05895162887
20	0.05864794146
21	0.05834323047
22	0.05799121208
23	0.05770875678
24	0.05734612727
25	0.05695395682
26	0.05667180875
27	0.05644297674
28	0.05614741297
29	0.05591426345
30	0.05566276673
31	0.05546462096
32	0.05526835449
33	0.05509647257
34	0.05498302881
35	0.05472111683
36	0.05448429411
37	0.05433221422
38	0.05418021827
39	0.05400947236
40	0.05386076879
41	0.05372670141
42	0.05348247992
43	0.05328045415
44	0.05318844148
45	0.05304347809
46	0.05283916747
47	0.05272982731
48	0.05251758882
49	0.05240211648
50	0.05228614649
51	0.05209864302
52	0.05191834104
53	0.05176040675
54	0.05164255202
55	0.0515310166
56	0.0513041682
57	0.0512070584
58	0.05105351493
59	0.05092210028
60	0.05086844525
61	0.05070890556
62	0.05052863569
63	0.05039475507
64	0.05025670507
65	0.05009865039
66	0.05001836663
67	0.04983661668
68	0.04977713406
69	0.04970119091
70	0.04958626792
71	0.04950225338
72	0.04942081315
73	0.04926634741
74	0.04908863079
75	0.04899939987
76	0.04885758175
77	0.04875296289
78	0.04870503959
79	0.04862768946
80	0.048584164
81	0.04853929381
82	0.04846635457
83	0.04834081027
84	0.04818227079
85	0.04811303194
86	0.04805435108
87	0.04796952692
88	0.04781961455
89	0.04768006805
90	0.04754948771
91	0.04744746933
92	0.04738904483
93	0.04726212678
94	0.04717312785
95	0.04707330442
96	0.04702686847
97	0.04694493562
98	0.04690912307
99	0.04682221734
100	0.04674301829
101	0.0466171609
102	0.04657528049
103	0.04648838297
104	0.04639074456
105	0.04634255763
106	0.04624366229
107	0.04622877455
108	0.04617685217
109	0.0460681334
110	0.04599228325
111	0.04588427402
112	0.04577691602
113	0.04572894404
114	0.0456043025
115	0.04553595879
116	0.04542266094
117	0.04534141243
118	0.04530400938
119	0.04524620287
120	0.04517278882
121	0.04505324222
122	0.04497967147
123	0.04493522247
124	0.04482303938
125	0.04473186893
126	0.04457460038
127	0.04446182108
128	0.04438372033
129	0.04436977763
130	0.0443526556
131	0.04430061974
132	0.04424051022
133	0.04422400851
134	0.04413267578
135	0.04403477644
136	0.04396561351
137	0.04386704414
138	0.04380499505
139	0.04369417223
140	0.04363242032
141	0.04353576253
142	0.0434247488
143	0.04334098509
144	0.04329211931
145	0.04324613436
146	0.0431975501
147	0.04312678028
148	0.04307249297
149	0.04303068117
150	0.04295764226
151	0.04288016627
152	0.04277253223
153	0.0427228173
154	0.04267436316
155	0.04263550434
156	0.04260377115
157	0.04256983673
158	0.04251699903
159	0.0424214926
160	0.04235075185
161	0.04233061759
162	0.04228154215
163	0.0422250986
164	0.04215053171
165	0.04210988668
166	0.04206732161
167	0.04198158475
168	0.04192335984
169	0.04178180431
170	0.04171661352
171	0.04167565246
172	0.04159370403
173	0.04153755741
174	0.04145109267
175	0.04135713907
176	0.04130968272
177	0.04123719018
178	0.04119974498
179	0.04115143012
180	0.04108767036
181	0.04103787341
182	0.04100323175
183	0.04093068527
184	0.04090431232
185	0.04085916156
186	0.04079190941
187	0.0407648987
188	0.04070195459
189	0.04064797003
190	0.04063269925
191	0.04060443129
192	0.04057301895
193	0.04054490467
194	0.04048916802
195	0.04043254284
196	0.04040042244
197	0.04035633802
198	0.0402612777
199	0.04019635619
200	0.04009789749
201	0.0400426721
202	0.04002932564
203	0.0399746051
204	0.03987364463
205	0.03979624217
206	0.0396883494
207	0.03964159787
208	0.03957892884
209	0.03954298987
210	0.03945727793
211	0.03944355967
212	0.03939810677
213	0.03933138837
214	0.03928444629
215	0.03916771897
216	0.03913284653
217	0.03906085731
218	0.03903460688
219	0.03895800508
220	0.03894377622
221	0.03888793119
222	0.03882828042
223	0.0387922232
224	0.03873886717
225	0.03872239946
226	0.03868478169
227	0.03863141194
228	0.0385960747
229	0.03848817908
230	0.03841797589
231	0.03837574395
232	0.03830307483
233	0.03825812398
234	0.03821136762
235	0.03813337786
236	0.03810487664
237	0.03807132983
238	0.03798517514
239	0.03793715175
240	0.0379034002
241	0.03779959407
242	0.03774720232
243	0.03768740777
244	0.03765325994
245	0.03758824557
246	0.03754786003
247	0.03754146187
248	0.03748227062
249	0.03742076301
250	0.03737265716
251	0.03733486678
252	0.03719966081
253	0.03712884396
254	0.03707944576
255	0.03704275586
256	0.03700921743
257	0.03695957636
258	0.03691075006
259	0.03685019188
260	0.0368202174
261	0.03679025907
262	0.03677407621
263	0.03671611656
